MIS_DATE,APP_ID,BIRTH_DAYS,GENDER,MARRIAGE,ID_ISSUE_DAYS,EDUCATION,REQUEST_LOAN_AMOUNT,CURRENT_PROVINCE,REQ_MAX_AMT_R,REFERENCE_RELATIONSHIP_2,LIV_AGE_R,WOR_AGE_R,SPOUSE_REL,MAX_DPD
2019-01-31,593143,16747,MALE,MARRIED,4236,HIGH_SCHOOL,45,Ho Chi Minh,0.9,FRIEND/CO-WORKER,0.87,0.17,1,1
2019-01-31,655772,8238,MALE,SINGLE,792,HIGH_SCHOOL,30,Ho Chi Minh,0.75,FRIEND/CO-WORKER,0.04,0.26,0,43
2019-01-31,678797,14992,FEMALE,DIVORCE,179,SECONDARY_SCHOOL,50,Ba Ria - Vung Tau,1,FRIEND/CO-WORKER,0.49,0.02,0,2
2019-01-31,612387,10599,FEMALE,MARRIED,3506,SECONDARY_SCHOOL,40,Binh Thuan,1,FRIEND/CO-WORKER,0.1,0.1,1,1
2019-01-31,661086,14632,FEMALE,MARRIED,280,HIGH_SCHOOL,20,Ha Noi,0.4,FRIEND/CO-WORKER,0.63,0.01,1,0
2019-01-31,648825,10616,MALE,SINGLE,4494,HIGH_SCHOOL,50,Nghe An,1,FRIEND/CO-WORKER,0.97,0.07,0,3
2019-01-31,640282,11036,MALE,MARRIED,964,HIGH_SCHOOL,20,Ha Noi,0.4,FRIEND/CO-WORKER,1,0.1,1,328
2019-01-31,663457,15005,FEMALE,DIVORCE,744,HIGH_SCHOOL,20,Tay Ninh,0.4,FRIEND/CO-WORKER,0.98,0.08,0,-1
2019-01-31,607448,15007,MALE,MARRIED,1564,PRIMARY_SCHOOL,40,Phu Yen,1,FRIEND/CO-WORKER,0.98,0.83,1,2
2019-01-31,653095,16244,FEMALE,MARRIED,3178,SECONDARY_SCHOOL,20,Thua Thien Hue,0.4,FRIEND/CO-WORKER,1,0.24,0,1
2019-01-31,651134,10440,MALE,MARRIED,3693,HIGH_SCHOOL,25,Phu Yen,0.5,COUSIN,0.07,0.24,1,4
2019-01-31,645270,15385,FEMALE,MARRIED,616,SECONDARY_SCHOOL,50,Tien Giang,1,FRIEND/CO-WORKER,0.42,0.23,0,43
2019-01-31,662955,17306,MALE,MARRIED,2444,COLLEGE,50,Ha Noi,1,FRIEND/CO-WORKER,1,0.1,1,43
2019-01-31,630337,12331,MALE,MARRIED,2878,HIGH_SCHOOL,20,Ha Noi,0.4,FRIEND/CO-WORKER,0.04,0.09,0,3
2019-01-31,669487,13622,MALE,MARRIED,2157,HIGH_SCHOOL,50,Dong Nai,1,FRIEND/CO-WORKER,0.16,0.08,1,11
2019-01-31,600855,9982,MALE,SINGLE,4400,UNIVERSITY,30,Thanh Hoa,0.6,FRIEND/CO-WORKER,0.96,0.04,0,9
2019-01-31,627621,17575,MALE,MARRIED,1929,SECONDARY_SCHOOL,30,Da Nang,0.6,FRIEND/CO-WORKER,0.02,0.61,0,7
2019-01-31,621516,9087,MALE,SINGLE,3926,SECONDARY_SCHOOL,40,An Giang,1,FRIEND/CO-WORKER,0.96,0.4,0,3
2019-01-31,663805,19747,FEMALE,MARRIED,385,SECONDARY_SCHOOL,50,An Giang,1,FRIEND/CO-WORKER,0.74,0.33,0,73
2019-01-31,632573,8462,MALE,SINGLE,161,HIGH_SCHOOL,30,Hai Duong,0.6,FRIEND/CO-WORKER,1,0.1,0,253
2019-01-31,644124,17219,MALE,MARRIED,4903,HIGH_SCHOOL,50,Ha Noi,1,FRIEND/CO-WORKER,0.98,0.01,1,1
2019-01-31,645521,10356,FEMALE,MARRIED,1717,UNIVERSITY,50,Ha Noi,1,FRIEND/CO-WORKER,0.14,0.1,1,0
2019-01-31,599960,10087,FEMALE,MARRIED,4586,HIGH_SCHOOL,50,Binh Dinh,1,FRIEND/CO-WORKER,0.96,0.14,1,50
2019-01-31,654674,8425,MALE,SINGLE,2713,HIGH_SCHOOL,30,Ho Chi Minh,0.6,FRIEND/CO-WORKER,0.34,0.15,0,2
2019-01-31,617974,12001,MALE,MARRIED,2555,HIGH_SCHOOL,30,Ho Chi Minh,0.6,COUSIN,0.09,0.09,1,7
2019-01-31,633051,12355,MALE,MARRIED,179,HIGH_SCHOOL,30,Quang Ninh,0.6,FRIEND/CO-WORKER,0.97,0.16,0,40
2019-01-31,599614,10810,MALE,SINGLE,1309,HIGH_SCHOOL,20,Quang Ngai,0.4,FRIEND/CO-WORKER,1,0.23,0,37
2019-01-31,603591,20093,MALE,MARRIED,2863,SECONDARY_SCHOOL,50,An Giang,1,FRIEND/CO-WORKER,0.47,0.04,1,2
2019-01-31,666159,13145,MALE,MARRIED,995,HIGH_SCHOOL,50,Ha Noi,1,FRIEND/CO-WORKER,0.17,0.14,0,257
2019-01-31,644228,11277,MALE,MARRIED,164,SECONDARY_SCHOOL,40,Ben Tre,1,FRIEND/CO-WORKER,1,0.19,1,175
2019-01-31,605724,19258,MALE,MARRIED,4470,SECONDARY_SCHOOL,50,Binh Duong,1,FRIEND/CO-WORKER,0.47,0.47,1,8
2019-01-31,591492,20456,FEMALE,MARRIED,882,SECONDARY_SCHOOL,50,Long An,1,FRIEND/CO-WORKER,0.54,0.36,0,1
2019-01-31,642810,13331,MALE,MARRIED,2320,COLLEGE,50,Binh Thuan,1,FRIEND/CO-WORKER,0.97,0.27,0,8
2019-01-31,636704,15721,MALE,MARRIED,757,HIGH_SCHOOL,40,Binh Duong,1,FRIEND/CO-WORKER,0.07,0.01,1,267
2019-01-31,643276,13901,FEMALE,MARRIED,165,SECONDARY_SCHOOL,30,Binh Duong,0.6,FRIEND/CO-WORKER,0.26,0.04,1,2
2019-01-31,639621,17269,FEMALE,MARRIED,1912,PRIMARY_SCHOOL,30,An Giang,0.6,FRIEND/CO-WORKER,0.42,0.19,0,-1
2019-01-31,601683,10510,FEMALE,MARRIED,553,HIGH_SCHOOL,50,Nghe An,1,FRIEND/CO-WORKER,0.14,0.1,1,31
2019-01-31,655546,11582,MALE,SINGLE,958,HIGH_SCHOOL,50,Ha Noi,1,FRIEND/CO-WORKER,1,0.06,0,-1
2019-01-31,676880,18114,FEMALE,MARRIED,7,PRIMARY_SCHOOL,50,Ben Tre,1,FRIEND/CO-WORKER,0.6,0.02,0,4
2019-01-31,612292,12546,FEMALE,DIVORCE,567,HIGH_SCHOOL,20,Phu Tho,0.4,FRIEND/CO-WORKER,0.29,0.09,0,11
2019-01-31,653581,9089,MALE,SINGLE,109,SECONDARY_SCHOOL,20,Ho Chi Minh,0.4,FRIEND/CO-WORKER,0.04,0.01,0,-1
2019-01-31,650282,13168,FEMALE,MARRIED,458,HIGH_SCHOOL,40,Kien Giang,1,FRIEND/CO-WORKER,1,0.17,1,8
2019-01-31,619130,10357,MALE,MARRIED,4712,SECONDARY_SCHOOL,20,Vinh Long,0.4,FRIEND/CO-WORKER,0.97,0.05,1,1
2019-01-31,628752,13633,MALE,MARRIED,2146,UNIVERSITY,30,Ha Noi,0.6,FRIEND/CO-WORKER,0.97,0.11,0,0
2019-01-31,670586,12078,MALE,MARRIED,2530,SECONDARY_SCHOOL,20,Binh Duong,0.4,FRIEND/CO-WORKER,0.33,0.27,1,1
2019-01-31,631463,8944,FEMALE,MARRIED,314,SECONDARY_SCHOOL,20,Binh Duong,0.4,FRIEND/CO-WORKER,0.04,0.02,1,206
2019-01-31,628523,11700,MALE,MARRIED,283,PRIMARY_SCHOOL,50,Binh Duong,1,FRIEND/CO-WORKER,0.47,0.09,1,1
2019-01-31,658772,9812,MALE,SINGLE,1173,UNIVERSITY,20,Ho Chi Minh,0.4,BROTHER/SISTER,0.26,0.11,0,33
2019-01-31,636407,12799,MALE,MARRIED,614,PRIMARY_SCHOOL,40,Tay Ninh,0.8,FRIEND/CO-WORKER,0.34,0.29,1,53
2019-01-31,653286,20231,MALE,MARRIED,398,HIGH_SCHOOL,20,Khanh Hoa,0.4,FRIEND/CO-WORKER,1,0.36,0,2
2019-01-31,604412,9416,FEMALE,MARRIED,2668,HIGH_SCHOOL,20,Binh Duong,0.5,FRIEND/CO-WORKER,0.15,0.12,1,91
2019-01-31,624720,21001,FEMALE,WIDOW,8,PRIMARY_SCHOOL,40,Ben Tre,0.8,FRIEND/CO-WORKER,0.52,0.43,0,1
2019-01-31,644791,15723,FEMALE,DIVORCE,827,HIGH_SCHOOL,50,Tien Giang,1,FRIEND/CO-WORKER,1,0.16,0,263
2019-01-31,632894,11044,MALE,SINGLE,119,COLLEGE,30,Phu Tho,0.75,FRIEND/CO-WORKER,0.97,0.23,0,3
2019-01-31,601468,16009,MALE,SINGLE,4321,SECONDARY_SCHOOL,30,Ho Chi Minh,0.6,FRIEND/CO-WORKER,0.91,0.3,0,0
2019-01-31,657405,19098,MALE,MARRIED,243,HIGH_SCHOOL,50,Long An,1,FRIEND/CO-WORKER,1,0.38,1,2
2019-01-31,642191,12575,MALE,MARRIED,458,SECONDARY_SCHOOL,35,Binh Duong,0.7,FRIEND/CO-WORKER,0.11,0.03,1,2
2019-01-31,657464,12555,MALE,MARRIED,573,HIGH_SCHOOL,50,Ha Noi,1,FRIEND/CO-WORKER,1,0.11,0,5
2019-01-31,643058,16088,FEMALE,MARRIED,317,PRIMARY_SCHOOL,50,Binh Duong,1,FRIEND/CO-WORKER,0.05,0.02,0,53
2019-01-31,670939,11808,MALE,DIVORCE,3626,HIGH_SCHOOL,50,Nghe An,1,FRIEND/CO-WORKER,1.03,0.12,0,48
2019-01-31,644604,11648,MALE,MARRIED,841,COLLEGE,50,Ha Noi,1,FRIEND/CO-WORKER,0.53,0.09,1,83
2019-01-31,605735,17943,FEMALE,MARRIED,2909,SECONDARY_SCHOOL,50,Ho Chi Minh,1,FRIEND/CO-WORKER,0.14,0.4,0,-1
2019-01-31,645518,11776,MALE,MARRIED,2949,HIGH_SCHOOL,40,Ha Noi,1,FRIEND/CO-WORKER,0.52,0.03,1,236
2019-01-31,662300,9100,FEMALE,SINGLE,2542,SECONDARY_SCHOOL,25,Dong Nai,0.5,FRIEND/CO-WORKER,0.28,0.28,0,7
2019-01-31,619919,13272,FEMALE,MARRIED,4492,SECONDARY_SCHOOL,50,An Giang,1,FRIEND/CO-WORKER,0.38,0.14,1,-1
2019-01-31,680909,10317,MALE,SINGLE,167,HIGH_SCHOOL,50,Ha Noi,1,FRIEND/CO-WORKER,1,0.03,0,226
2019-01-31,652527,19033,MALE,MARRIED,3329,SECONDARY_SCHOOL,30,Phu Yen,0.6,FRIEND/CO-WORKER,0.66,0.23,1,-1
2019-01-31,637719,13048,MALE,MARRIED,3050,UNIVERSITY,50,Ha Noi,1,FRIEND/CO-WORKER,1,0.22,0,175
2019-01-31,637666,9082,MALE,SINGLE,3653,UNIVERSITY,40,Ho Chi Minh,0.8,FRIEND/CO-WORKER,0.04,0.08,0,1
2019-01-31,652630,13240,FEMALE,MARRIED,524,HIGH_SCHOOL,20,Tay Ninh,0.5,FRIEND/CO-WORKER,0.32,0.22,1,165
2019-01-31,628020,17732,FEMALE,MARRIED,900,SECONDARY_SCHOOL,40,Nghe An,0.8,FRIEND/CO-WORKER,1,0.22,0,2
2019-01-31,656536,18994,MALE,MARRIED,4318,HIGH_SCHOOL,15,Khanh Hoa,0.38,COUSIN,0.87,0.29,1,1
2019-01-31,669118,13152,MALE,DIVORCE,1975,SECONDARY_SCHOOL,40,Binh Duong,0.8,FRIEND/CO-WORKER,0.83,0.28,0,2
2019-01-31,652209,8868,MALE,MARRIED,2796,SECONDARY_SCHOOL,30,Binh Duong,0.75,FRIEND/CO-WORKER,0.12,0.08,0,226
2019-01-31,667814,9056,MALE,SINGLE,3588,COLLEGE,50,Ha Noi,1,FRIEND/CO-WORKER,0.96,0.04,0,0
2019-01-31,624202,13891,FEMALE,MARRIED,32,SECONDARY_SCHOOL,30,Tien Giang,0.75,FRIEND/CO-WORKER,0.79,0.06,0,34
2019-01-31,616805,11068,MALE,MARRIED,936,HIGH_SCHOOL,30,Ho Chi Minh,0.75,FRIEND/CO-WORKER,0.97,0.16,1,3
2019-01-31,645320,19150,FEMALE,MARRIED,361,SECONDARY_SCHOOL,50,Ha Noi,1,FRIEND/CO-WORKER,0.36,0.09,0,1
2019-01-31,660160,16167,FEMALE,DIVORCE,152,HIGH_SCHOOL,40,Ha Noi,1,FRIEND/CO-WORKER,0.98,0.22,0,253
2019-01-31,637044,11703,MALE,MARRIED,910,HIGH_SCHOOL,40,Can Tho,1,FRIEND/CO-WORKER,0.06,0.16,0,2
2019-01-31,637205,11704,MALE,MARRIED,4251,SECONDARY_SCHOOL,30,Dong Nai,0.6,FRIEND/CO-WORKER,0.19,0.19,1,92
2019-01-31,643450,11675,FEMALE,DIVORCE,106,HIGH_SCHOOL,20,Ho Chi Minh,0.4,FRIEND/CO-WORKER,0.06,0.02,0,100
2019-01-31,620414,9100,MALE,SINGLE,1024,SECONDARY_SCHOOL,40,Ben Tre,1,FRIEND/CO-WORKER,1,0.24,0,297
2019-01-31,599993,13657,FEMALE,MARRIED,8,HIGH_SCHOOL,50,Ha Noi,1,FRIEND/CO-WORKER,0.53,0.26,0,-1
2019-01-31,649959,9776,MALE,SINGLE,1607,SECONDARY_SCHOOL,20,Tay Ninh,0.4,FRIEND/CO-WORKER,1,0.19,0,73
2019-01-31,656123,16537,MALE,DIVORCE,860,UNIVERSITY,50,Ha Noi,1,FRIEND/CO-WORKER,0.13,0.13,0,1
2019-01-31,644249,12436,MALE,MARRIED,1,HIGH_SCHOOL,50,Can Tho,1,FRIEND/CO-WORKER,0.03,0.03,1,3
2019-01-31,636655,7549,FEMALE,SINGLE,1161,COLLEGE,50,Tay Ninh,1,FRIEND/CO-WORKER,0.29,0.03,0,5
2019-01-31,666153,10460,FEMALE,MARRIED,1532,HIGH_SCHOOL,15,Ho Chi Minh,0.38,FRIEND/CO-WORKER,0.14,0.14,1,-1
2019-01-31,601722,10486,MALE,MARRIED,849,HIGH_SCHOOL,40,Binh Thuan,1,FRIEND/CO-WORKER,0.97,0.24,1,45
2019-01-31,649662,9638,FEMALE,MARRIED,3566,SECONDARY_SCHOOL,30,An Giang,0.75,FRIEND/CO-WORKER,0.01,0.07,1,2
2019-01-31,649544,20108,FEMALE,MARRIED,5275,SECONDARY_SCHOOL,50,Kien Giang,1,FRIEND/CO-WORKER,1,0.36,1,-1
2019-01-31,666772,13398,MALE,MARRIED,210,COLLEGE,30,Ha Noi,0.6,FRIEND/CO-WORKER,0.05,0.11,1,6
2019-01-31,619056,13565,MALE,OTHER,5304,SECONDARY_SCHOOL,50,Tay Ninh,1,FRIEND/CO-WORKER,0.26,0.11,0,62
2019-01-31,645259,17990,MALE,MARRIED,1098,SECONDARY_SCHOOL,50,Quang Ngai,1,FRIEND/CO-WORKER,1,0.4,1,3
2019-01-31,666453,7512,FEMALE,SINGLE,2015,HIGH_SCHOOL,40,Ho Chi Minh,1,FRIEND/CO-WORKER,0.19,0.19,0,226
2019-01-31,595998,12421,FEMALE,MARRIED,2661,SECONDARY_SCHOOL,50,Dong Nai,1,FRIEND/CO-WORKER,0.35,0.15,0,245
2019-01-31,622337,9649,FEMALE,WIDOW,7,UNIVERSITY,30,Thanh Hoa,0.6,FRIEND/CO-WORKER,0.96,0.11,0,1
2019-01-31,627958,16200,FEMALE,MARRIED,2803,SECONDARY_SCHOOL,40,Phu Yen,1,FRIEND/CO-WORKER,0.38,0.04,1,1
2019-01-31,633104,10848,MALE,MARRIED,1836,HIGH_SCHOOL,30,Ho Chi Minh,0.6,FRIEND/CO-WORKER,1,0.1,0,1
2019-01-31,612936,16314,FEMALE,MARRIED,2771,PRIMARY_SCHOOL,50,Binh Dinh,1,FRIEND/CO-WORKER,0.22,0.13,1,3
2019-01-31,661055,7976,FEMALE,SINGLE,2029,COLLEGE,20,Ho Chi Minh,0.4,FRIEND/CO-WORKER,0.18,0.05,0,1
2019-01-31,599666,10496,FEMALE,SINGLE,4348,SECONDARY_SCHOOL,40,Khanh Hoa,1,FRIEND/CO-WORKER,0.03,0.41,0,8
2019-01-31,612358,19731,MALE,DIVORCE,1914,SECONDARY_SCHOOL,25,Ben Tre,0.5,FRIEND/CO-WORKER,0.11,0.11,0,-1
2019-01-31,616617,10187,MALE,SINGLE,755,HIGH_SCHOOL,20,An Giang,0.4,FRIEND/CO-WORKER,0.04,0.04,0,4
2019-01-31,596784,14612,MALE,MARRIED,1122,HIGH_SCHOOL,50,An Giang,1,FRIEND/CO-WORKER,0.98,0.18,1,4
2019-01-31,631906,12663,MALE,MARRIED,816,HIGH_SCHOOL,50,Ha Noi,1,FRIEND/CO-WORKER,0.11,0.14,1,175
2019-01-31,663995,17555,FEMALE,MARRIED,1577,PRIMARY_SCHOOL,40,Vinh Long,0.8,FRIEND/CO-WORKER,0.71,0.02,1,43
2019-01-31,662361,13344,MALE,DIVORCE,1024,HIGH_SCHOOL,25,Ho Chi Minh,0.5,FRIEND/CO-WORKER,0.54,0.03,0,6
2019-01-31,601335,18806,FEMALE,DIVORCE,266,HIGH_SCHOOL,50,Dong Nai,1,FRIEND/CO-WORKER,0.19,0.19,0,5
2019-01-31,614519,8160,MALE,SINGLE,2424,HIGH_SCHOOL,40,Khanh Hoa,1,FRIEND/CO-WORKER,0.04,0.03,0,3
2019-01-31,614839,11990,MALE,SINGLE,3958,HIGH_SCHOOL,40,Dong Nai,1,FRIEND/CO-WORKER,0.76,0.3,0,107
2019-01-31,665242,11467,MALE,MARRIED,245,SECONDARY_SCHOOL,50,Binh Duong,1,FRIEND/CO-WORKER,1,0.13,0,1
2019-01-31,654908,12805,MALE,MARRIED,1344,PRIMARY_SCHOOL,40,Binh Duong,1,FRIEND/CO-WORKER,0.11,0.23,1,12
2019-01-31,639834,15323,MALE,DIVORCE,3042,UNIVERSITY,50,Ho Chi Minh,1,FRIEND/CO-WORKER,0.4,0.02,0,104
2019-01-31,614664,10966,MALE,MARRIED,5283,SECONDARY_SCHOOL,40,Ho Chi Minh,0.8,FRIEND/CO-WORKER,0.13,0.33,0,9
2019-01-31,625275,13892,FEMALE,MARRIED,1564,SECONDARY_SCHOOL,40,Tay Ninh,0.8,FRIEND/CO-WORKER,0.24,0.26,0,3
2019-01-31,613701,14423,FEMALE,MARRIED,10,SECONDARY_SCHOOL,50,Vinh Long,1,FRIEND/CO-WORKER,0.63,0.2,1,-1
2019-01-31,637380,8959,FEMALE,MARRIED,2521,HIGH_SCHOOL,20,Ben Tre,0.5,FRIEND/CO-WORKER,1,0.2,1,1
2019-01-31,660498,10089,MALE,MARRIED,1441,HIGH_SCHOOL,20,Thanh Hoa,0.4,FRIEND/CO-WORKER,0.96,0.14,1,134
2019-01-31,630533,13436,FEMALE,MARRIED,5096,SECONDARY_SCHOOL,30,Nghe An,0.6,BROTHER/SISTER IN LAW,1.03,0.27,0,53
2019-01-31,612534,9219,MALE,MARRIED,1939,COLLEGE,20,Binh Dinh,0.4,FRIEND/CO-WORKER,1,0.08,1,47
2019-01-31,622644,12763,MALE,MARRIED,1569,HIGH_SCHOOL,20,An Giang,0.5,FRIEND/CO-WORKER,1,0.11,0,3
2019-01-31,644434,9614,FEMALE,MARRIED,1385,HIGH_SCHOOL,40,Nghe An,1,FRIEND/CO-WORKER,0.22,0.06,0,6
2019-01-31,625505,14986,MALE,MARRIED,469,HIGH_SCHOOL,40,Ho Chi Minh,1,FRIEND/CO-WORKER,0.01,0.01,1,144
2019-01-31,658529,16966,MALE,DIVORCE,1087,UNIVERSITY,50,Binh Dinh,1,FRIEND/CO-WORKER,0.04,0.06,0,17
2019-01-31,635172,14990,MALE,MARRIED,971,SECONDARY_SCHOOL,50,Phu Yen,1,FRIEND/CO-WORKER,0.44,0.07,1,-1
2019-01-31,613724,12208,MALE,MARRIED,4,HIGH_SCHOOL,40,Thanh Hoa,0.8,FRIEND/CO-WORKER,1,0.02,1,4
2019-01-31,604775,7782,MALE,SINGLE,352,HIGH_SCHOOL,20,Da Nang,0.4,FRIEND/CO-WORKER,0.03,0.07,0,9
2019-01-31,636821,8790,MALE,MARRIED,2598,HIGH_SCHOOL,30,Ha Noi,0.6,FRIEND/CO-WORKER,1,0.24,0,142
2019-01-31,674988,10916,MALE,SINGLE,98,HIGH_SCHOOL,50,An Giang,1,FRIEND/CO-WORKER,1,0.07,0,1
2019-01-31,593903,15707,MALE,DIVORCE,1876,PRIMARY_SCHOOL,20,Tay Ninh,0.4,FRIEND/CO-WORKER,0.28,0.47,0,7
2019-01-31,658425,9617,FEMALE,MARRIED,4136,COLLEGE,50,Long An,1,FRIEND/CO-WORKER,0.15,0.11,1,0
2019-01-31,634744,7957,MALE,SINGLE,1522,UNIVERSITY,20,Ho Chi Minh,0.4,FRIEND/CO-WORKER,0.05,0.02,0,2
2019-01-31,637603,8608,MALE,SINGLE,2716,HIGH_SCHOOL,45,Dong Nai,0.9,FRIEND/CO-WORKER,0.1,0.1,0,-1
2019-01-31,661910,13031,FEMALE,MARRIED,3768,HIGH_SCHOOL,20,Ho Chi Minh,0.5,FRIEND/CO-WORKER,0.42,0.42,1,1
2019-01-31,639609,12847,MALE,MARRIED,44,SECONDARY_SCHOOL,50,Binh Thuan,1,FRIEND/CO-WORKER,0.56,0.42,1,-1
2019-01-31,643219,11221,FEMALE,MARRIED,3058,COLLEGE,20,Tien Giang,0.4,COUSIN,0.1,0.23,0,1
2019-01-31,652345,12908,MALE,MARRIED,1943,SECONDARY_SCHOOL,50,Kien Giang,1,FRIEND/CO-WORKER,0.28,0.28,1,-1
2019-01-31,618815,9733,FEMALE,MARRIED,3816,HIGH_SCHOOL,50,Vinh Long,1,FRIEND/CO-WORKER,0.15,0.15,1,-1
2019-01-31,628847,11250,MALE,SINGLE,4682,HIGH_SCHOOL,30,Ha Noi,0.6,FRIEND/CO-WORKER,0.1,0.16,0,297
2019-01-31,594839,11326,FEMALE,DIVORCE,5257,SECONDARY_SCHOOL,20,Binh Duong,0.5,FRIEND/CO-WORKER,0.21,0.02,0,0
